snapped_at,market_cap,total_volume,ln_cap,cap_diff
1.36719E+12,1661441770,0,21.2309516,
1.36728E+12,1592765051,0,21.18873737,-0.04221423
1.36737E+12,1378705103,0,21.04441056,-0.144326804
1.36745E+12,1220763415,0,20.92274225,-0.121668314
1.36754E+12,1075224202,0,20.79579504,-0.126947213
1.36763E+12,1316363524,0,20.99813887,0.202343829
1.36771E+12,1382120536,0,21.04688478,0.048745911
1.3678E+12,1393824485,0,21.05531723,0.008432457
1.36788E+12,1254637674,0,20.95011266,-0.105204572
1.36797E+12,1330986953,0,21.00918657,0.059073912
1.36806E+12,1334911702,0,21.01213099,0.002944412
1.36814E+12,1395116543,0,21.05624379,0.044112806
1.36823E+12,1332012007,0,21.00995642,-0.046287369
1.36832E+12,1350327204,0,21.02361277,0.01365635
1.3684E+12,1377789386,0,21.04374616,0.020133384
1.36849E+12,1345650748,0,21.02014356,-0.023602597
1.36858E+12,1338823587,0,21.01505715,-0.005086415
1.36866E+12,1353313527,0,21.02582189,0.010764741
1.36875E+12,1443958629,0,21.09065423,0.06483234
1.36884E+12,1455779820,0,21.09880755,0.008153326
1.36892E+12,1417905572,0,21.07244667,-0.026360882
1.36901E+12,1441122694,0,21.0886883,0.016241625
1.36909E+12,1443607754,0,21.0904112,0.001722907
1.36918E+12,1445715359,0,21.09187009,0.001458892
1.36927E+12,1478020525,0,21.11396955,0.022099452
1.36935E+12,1545112414,0,21.1583625,0.044392958
1.36944E+12,1533661573,0,21.1509239,-0.007438606
1.36953E+12,1580501022,0,21.18100774,0.030083838
1.36961E+12,1515097522,0,21.13874564,-0.042262091
1.3697E+12,1517015783,0,21.14001094,0.001265297
1.36979E+12,1494663310,0,21.12516681,-0.014844134
1.36987E+12,1496904749,0,21.12666531,0.001498505
1.36996E+12,1501246629,0,21.12956169,0.002896373
1.37004E+12,1513483050,0,21.13767949,0.008117801
1.37013E+12,1425253662,0,21.07761564,-0.060063844
1.37022E+12,1421300914,0,21.07483843,-0.002777217
1.37039E+12,1428937992,0,21.08019734,0.005358917
1.37048E+12,1431055975,0,21.08167845,0.00148111
1.37056E+12,1399369412,0,21.05928755,-0.022390901
1.37065E+12,1295759699,0,20.982363,-0.076924552
1.37074E+12,1276440352,0,20.96734107,-0.015021934
1.37082E+12,1175742721,0,20.88516589,-0.082175178
1.37091E+12,1249480387,0,20.94599361,0.060827724
1.371E+12,1281020351,0,20.97092275,0.024929135
1.37108E+12,1274880850,0,20.96611856,-0.004804186
1.37117E+12,1209926438,0,20.9138254,-0.052293161
1.37125E+12,1157471483,0,20.86950371,-0.044321693
1.37134E+12,1175106991,0,20.88462504,0.01512133
1.37143E+12,1181799762,0,20.89030434,0.005679299
1.37151E+12,1203069155,0,20.90814176,0.017837422
1.3716E+12,1255047714,0,20.95043943,0.04229767
1.37169E+12,1272106014,0,20.96393964,0.013500215
1.37177E+12,1307192102,0,20.99114724,0.027207597
1.37186E+12,1295399444,0,20.98208494,-0.009062305
1.37195E+12,1280858025,0,20.97079602,-0.011288913
1.37203E+12,1288678379,0,20.97688302,0.006086995
1.37212E+12,1223713187,0,20.92515567,-0.051727349
1.3722E+12,1236186084,0,20.93529674,0.010141069
1.37229E+12,1235489718,0,20.93473326,-0.000563477
1.37238E+12,1194934899,0,20.90135754,-0.033375718
1.37246E+12,1121179078,0,20.83764672,-0.063710826
1.37255E+12,1144211142,0,20.85798128,0.020334561
1.37264E+12,1173606025,0,20.88334692,0.025365641
1.37272E+12,1081520862,0,20.80163409,-0.081712826
1.37281E+12,1094150829,0,20.8132444,0.011610308
1.3729E+12,950276548,0,20.6722636,-0.140980797
1.37298E+12,952140445,0,20.67422311,0.001959505
1.37307E+12,826561927,0,20.5327854,-0.141437709
1.37316E+12,829092669,0,20.53584249,0.003057092
1.37324E+12,942313402,0,20.66384848,0.128005985
1.37333E+12,928926091,0,20.64953974,-0.01430874
1.37341E+12,935842308,0,20.65695755,0.00741781
1.3735E+12,1040602951,0,20.76306614,0.106108597
1.37359E+12,1134446242,0,20.84941048,0.086344334
1.37367E+12,1066507120,0,20.78765477,-0.061755704
1.37376E+12,1155324187,0,20.86764682,0.079992051
1.37385E+12,1139102572,0,20.85350657,-0.014140251
1.37393E+12,1179325520,0,20.88820852,0.034701947
1.37402E+12,1202570259,0,20.90772699,0.019518467
1.37411E+12,1188974868,0,20.89635732,-0.011369668
1.37419E+12,1081670768,0,20.80177269,-0.094584627
1.37428E+12,1116264659,0,20.83325382,0.031481132
1.37436E+12,1088742655,0,20.80828934,-0.024964483
1.37445E+12,1102248729,0,20.82061823,0.012328889
1.37454E+12,1115501747,0,20.83257014,0.011951909
1.37462E+12,1151633055,0,20.86444682,0.031876682
1.37471E+12,1153139045,0,20.86575367,0.001306845
1.3748E+12,1180880341,0,20.88952605,0.023772384
1.37488E+12,1148339225,0,20.86158258,-0.027943466
1.37497E+12,1145435127,0,20.85905043,-0.002532158
1.37506E+12,1202095629,0,20.90733223,0.048281803
1.37514E+12,1236716068,0,20.93572537,0.028393143
1.37523E+12,1339436875,0,21.01551512,0.079789749
1.37532E+12,1291879380,0,20.97936388,-0.036151241
1.3754E+12,1239228980,0,20.93775523,-0.041608646
1.37549E+12,1264382935,0,20.95785004,0.020094809
1.37557E+12,1326411168,0,21.00574276,0.04789272
1.37566E+12,1342634881,0,21.01789985,0.012157087
1.37575E+12,1326756331,0,21.00600295,-0.011896898
1.37583E+12,1334526427,0,21.01184233,0.005839378
1.37592E+12,1274852723,0,20.9660965,-0.045745832
1.37601E+12,1294963874,0,20.98174864,0.015652138
1.37609E+12,1286310198,0,20.97504365,-0.00670499
1.37618E+12,1297135658,0,20.98342433,0.008380685
1.37627E+12,1313027073,0,20.99560105,0.012176721
1.37635E+12,1327786925,0,21.00677943,0.011178376
1.37644E+12,1391639436,0,21.05374834,0.046968912
1.37652E+12,1387094734,0,21.05047728,-0.003271062
1.37661E+12,1358066069,0,21.02932752,-0.021149761
1.3767E+12,1417789458,0,21.07236478,0.043037259
1.37678E+12,1445109513,0,21.09145094,0.019086167
1.37687E+12,1491994714,0,21.1233798,0.031928853
1.37696E+12,1514081839,0,21.13807505,0.014695249
1.37704E+12,1529230788,0,21.14803069,0.009955648
1.37713E+12,1535314865,0,21.15200132,0.003970628
1.37722E+12,1503336792,0,21.130953,-0.021048318
1.3773E+12,1511557692,0,21.13640654,0.005453538
1.37739E+12,1533396429,0,21.150751,0.01434446
1.37748E+12,1535741760,0,21.15227933,0.001528332
1.37756E+12,1576762300,0,21.1786394,0.026360072
1.37765E+12,1546513175,0,21.15926867,-0.019370735
1.37773E+12,1547509052,0,21.15991241,0.000643743
1.37782E+12,1617150065,0,21.20393122,0.044018806
1.37791E+12,1718392921,0,21.26465534,0.060724125
1.37799E+12,1722213503,0,21.26687622,0.002220878
1.37808E+12,1710142536,0,21.25984256,-0.007033662
1.37817E+12,1713107795,0,21.26157498,0.001732424
1.37825E+12,1689995763,0,21.24799186,-0.013583123
1.37834E+12,1633830110,0,21.21419286,-0.033799003
1.37843E+12,1584477906,0,21.18352079,-0.030672063
1.37851E+12,1563128527,0,21.16995512,-0.013565677
1.3786E+12,1539918692,0,21.15499545,-0.014959661
1.37868E+12,1594053182,0,21.18954578,0.034550326
1.37877E+12,1608333064,0,21.19846412,0.008918335
1.37886E+12,1656756078,0,21.22812736,0.029663242
1.37894E+12,1691228211,0,21.24872085,0.020593496
1.37903E+12,1701815760,0,21.25496161,0.006240758
1.37912E+12,1657025266,0,21.22828982,-0.026671789
1.3792E+12,1642536157,0,21.21950732,-0.008782502
1.37929E+12,1665488837,0,21.23338451,0.013877192
1.37938E+12,1683556257,0,21.24417421,0.0107897
1.37946E+12,1701294519,0,21.25465528,0.010481067
1.37955E+12,1682570743,0,21.24358866,-0.011066615
1.37964E+12,1656461048,0,21.22794926,-0.0156394
1.37972E+12,1631896171,0,21.21300847,-0.014940794
1.37981E+12,1657008919,0,21.22827996,0.015271487
1.37989E+12,1634030222,0,21.21431533,-0.013964629
1.37998E+12,1629092740,0,21.2112891,-0.003026233
1.38007E+12,1654155481,0,21.22655643,0.015267337
1.38015E+12,1662419043,0,21.23153963,0.004983201
1.38024E+12,1618668560,0,21.20486977,-0.026669862
1.38033E+12,1753605196,0,21.28493962,0.080069846
1.38041E+12,1828970464,0,21.32701906,0.04207944
1.3805E+12,1700443527,0,21.25415495,-0.072864105
1.38059E+12,1722801590,0,21.26721763,0.013062682
1.38067E+12,1698026829,0,21.25273273,-0.014484909
1.38076E+12,1576194517,0,21.17827925,-0.07445348
1.38084E+12,1653066046,0,21.22589761,0.047618365
1.38093E+12,1669418621,0,21.23574127,0.009843661
1.38102E+12,1654732760,0,21.22690536,-0.008835913
1.3811E+12,1655843242,0,21.22757623,0.000670869
1.38119E+12,1625115323,0,21.20884462,-0.01873161
1.38128E+12,1683459510,0,21.24411675,0.035272127
1.38136E+12,1675768904,0,21.23953794,-0.004578801
1.38145E+12,1677062166,0,21.24030939,0.000771445
1.38154E+12,1738192797,0,21.27611179,0.035802399
1.38162E+12,1741018162,0,21.27773593,0.001624142
1.38171E+12,1798206169,0,21.31005543,0.032319503
1.3818E+12,1832013268,0,21.32868135,0.018625913
1.38188E+12,1820343308,0,21.32229095,-0.006390395
1.38197E+12,1853446060,0,21.34031248,0.018021527
1.38205E+12,1916549962,0,21.37379251,0.033480033
1.38214E+12,2141663679,0,21.48484878,0.111056272
1.38223E+12,2161055256,0,21.49386248,0.0090137
1.38231E+12,2265792192,0,21.54119029,0.047327805
1.3824E+12,2406961759,0,21.60163111,0.06044082
1.38249E+12,2575048013,0,21.66913402,0.067502909
1.38257E+12,2500398942,0,21.63971613,-0.029417884
1.38266E+12,2183845288,0,21.50435305,-0.135363079
1.38275E+12,2247041816,0,21.53288044,0.028527386
1.38283E+12,2381811170,0,21.59112703,0.058246591
1.38292E+12,2482498288,0,21.63253126,0.041404233
1.383E+12,2551676592,0,21.66001647,0.027485203
1.38309E+12,2550044408,0,21.65937661,-0.000639856
1.38318E+12,2549295491,0,21.65908288,-0.000293731
1.38326E+12,2570680763,0,21.66743659,0.008353709
1.38335E+12,2597092827,0,21.67765851,0.010221924
1.38344E+12,2682104328,0,21.70986752,0.032209007
1.38352E+12,2852322733,0,21.77139949,0.061531973
1.38361E+12,2902990572,0,21.78900727,0.017607781
1.3837E+12,3274691435,0,21.90948948,0.120482209
1.38378E+12,3732196390,0,22.04026274,0.130773259
1.38387E+12,4187843917,0,22.15545186,0.115189118
1.38396E+12,4480692904,0,22.22304354,0.067591677
1.38404E+12,3862320493,0,22.074534,-0.148509534
1.38413E+12,4263303391,0,22.17331014,0.098776137
1.38421E+12,4450833587,0,22.21635724,0.043047098
1.3843E+12,5053274589,0,22.3433023,0.126945065
1.38439E+12,5108638017,0,22.35419867,0.010896369
1.38447E+12,5292963981,0,22.38964422,0.035445552
